Latitude,Longitude,Elevation
118.7005359568,31.9103601385,6.549597472005518
118.7005359568,31.9108121806,8.666899802680007
118.7005359568,31.9112642228,12.706936487156202
118.7005359568,31.911716265,18.691955635730224
118.7005359568,31.9121683072,22.888031541641496
118.7005359568,31.9126203494,25.25210269692233
118.7005359568,31.9130723916,25.742336813346718
118.7005359568,31.9135244338,26.194985392359968
118.7005359568,31.913976476,26.599615706008947
118.7005359568,31.9144285182,26.944953732291406
118.7005359568,31.9148805603,27.223704861827983
118.7005359568,31.9153326025,27.43749887210295
118.7005359568,31.9157846447,27.598565836462793
118.7005359568,31.9162366869,27.725945830304177
118.7005359568,31.9166887291,27.838037824995467
118.7005359568,31.9171407713,27.945899708390602
118.7005359568,31.9175928135,28.051590793541084
118.7005359568,31.9180448557,28.151573448572393
118.7005359568,31.9184968979,28.24203401814581
118.7005359568,31.91894894,28.322198979479722
118.7005359568,31.9194009822,28.394627255199612
118.7005359568,31.9198530244,28.46360719945706
118.7005359568,31.9203050666,28.533577940641905
118.7005359568,31.9207571088,28.608258560144243
118.7005359568,31.921209151,28.69041633780023
118.7005359568,31.9216611932,28.781939102481473
118.7005359568,31.9221132354,28.88414881016516
118.7005359568,31.9225652776,28.998240992601357
118.7005359568,31.9230173197,29.125565957804092
118.7005359568,31.9234693619,29.267372765532855
118.7005359568,31.9239214041,29.423799371113084
118.7005359568,31.9243734463,29.59224099498211
118.7005359568,31.9248254885,29.765695640507886
118.7005359568,31.9252775307,29.932034394773652
118.7005359568,31.9257295729,30.0
118.7005359568,31.9261816151,30.0
118.7005359568,31.9266336573,30.0
118.7005359568,31.9270856994,30.0
118.7005359568,31.9275377416,30.0
118.7005359568,31.9279897838,30.0
118.7005359568,31.928441826,29.836538623168256
118.7005359568,31.9288938682,29.640892723317947
118.7005359568,31.9293459104,29.432547097404104
118.7005359568,31.9297979526,29.221975998943904
118.7005359568,31.9302499948,29.017180072008856
118.7005359568,31.930702037,28.824975317195385
118.7005359568,31.9311540791,28.652072947550657
118.7005359568,31.9316061213,28.50496585537726
118.7005359568,31.9320581635,28.38841218763902
118.7005359568,31.9325102057,28.30303346612467
118.7005359568,31.9329622479,28.242921498232
118.7005359568,31.9334142901,28.19444102139994
118.7005359568,31.9338663323,28.137853289370806
118.7005359568,31.9343183745,28.053079595331994
118.7005359568,31.9347704167,27.929002258932414
118.7005359568,31.9352224588,27.77231902371683
118.7005359568,31.935674501,27.610015420617653
118.7005359568,31.9361265432,27.48151871260783
118.7005359568,31.9365785854,27.422679334468764
118.7005359568,31.9370306276,27.449505987000826
118.7005359568,31.9374826698,27.550534729058246
118.7005359568,31.937934712,27.691486675690324
118.7005359568,31.9383867542,27.82851328376286
118.7005359568,31.9388387964,27.922167254730685
